======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,BD,BD_7die_s,1,LIMIT_FILE,2025-12-04 16:55:17,2025-12-04 18:21:53,wat,7,2223,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\jianxiongjiao_workspace\T20250909_01_BD55\ALG4\bd_7die_s.tple,BD,798,CLEAN_COUNT,BD,TEMPERATURE,2025-12-04 16:53:26,2025-12-04 18:21:53,bd_7die_s.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-1 2),Site_2_Value(3 1),Site_3_Value(-3 1),Site_4_Value(-3 -1),Site_5_Value(2 -1),Site_6_Value(1 -2),Site_7_Value(-1 -2),
PCM703,proberdown,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM703,proberup,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM704,proberdown,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM704,proberup,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM030,proberdown,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM030,proberup,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM031,proberdown,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM031,proberup,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM034,proberdown,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
PCM034,proberup,prb,prb,,-1e+32,1e+32,-1e+32,1e+32,1,0,1,1,0,1,1,1,1,1,1,1,
